1476786,43.013425,-81.2768629
1476794,42.9923696,-81.2742454
1476933,42.983249,-81.2848146
1477049,43.0104333,-81.2735103
1477050,43.0104333,-81.2735103
1477051,43.0104333,-81.2735103
1477093,43.0180602,-81.281657
1477110,42.9861887,-81.2970252
1477119,42.9503241,-81.2864436
1477553,43.013425,-81.2768629
1477750,43.0118888,-81.2575926
1477878,43.0139866,-81.2799819
1477917,43.0110053,-81.2633623
1478018,42.9867106,-81.296152
1478019,42.9903007,-81.2601716
1478243,43.0067272,-81.2754579
1478496,43.0102197,-81.2728275
1478524,43.0067272,-81.2754579
1478619,42.9852305,-81.2879605
1478709,42.9898962,-81.2902937
